1200 -0.29924217 -0.027685588 10.086491 154 120 48
1210 -0.2603057 -0.052277043 10.020913 111 84 35
1220 -0.2982175 -0.002069492 9.945089 101 79 58
1230 -0.22444315 -0.08199172 9.996322 132 110 82
1240 -0.2838725 -0.019488437 10.013741 89 65 31
1250 -0.27977392 -0.04612918 10.045505 151 124 64
1260 -0.30436537 -0.024611657 10.070096 172 140 69
1270 -0.29719287 -0.018463794 10.047554 174 136 62
1280 -0.30129144 -0.028710233 10.063949 166 136 73
1290 -0.28284785 -0.016414506 9.954311 165 138 62
1300 -0.27567536 -0.04612918 10.040381 126 98 47
1310 -0.29002038 -0.038956672 10.079318 162 129 46
1320 -0.27567536 -0.036907382 10.124402 35 16 4
1330 -0.23878817 -0.039981317 9.962508 74 55 36
1340 -0.24698532 -0.04612918 10.063949 12 7 6
1350 -0.29002038 -0.041005958 10.065997 159 128 58
1360 -0.29411894 -0.0071927113 9.995297 35 25 17
1370 -0.27260143 -0.0071927113 9.937917 67 49 39
1380 -0.2767 -0.043055248 10.04448 140 110 52
1390 -0.25005925 -0.060474195 10.017839 74 54 29
1400 -0.2254678 -0.0768685 9.995297 21 14 5
1410 -0.30641466 -0.032808807 10.102884 147 120 72
1420 -0.23776352 -0.063548125 9.994272 66 49 33
1430 -0.26645356 -0.045104533 10.020913 152 133 90
1440 -0.28284785 -0.002069492 9.9368925 74 47 30
1450 -0.2254678 -0.13629784 10.128501 95 42 3
1460 -0.3023161 -0.020513082 10.096737 154 120 47
1470 -0.29616824 -0.031784166 10.0813675 156 123 51
1480 -0.29719287 -0.002069492 10.012716 24 16 11
1490 -0.23059101 -0.13424855 10.13055 127 83 31
1500 -0.29616824 -0.0041187797 10.012716 53 35 18
1510 -0.27977392 -0.041005958 10.04448 128 96 40
1520 -0.29206964 -0.008217355 9.946115 108 74 37
1530 -0.2562071 -0.055350974 10.022963 130 100 41
1540 -0.29616824 -0.032808807 10.0813675 164 129 49
1550 -0.25415784 -0.053301685 10.039357 92 72 41
1560 -0.26133034 -0.05432633 10.007593 173 150 80
1570 -0.2889957 -0.014365219 9.992223 41 28 14
1580 -0.2787493 -0.03383345 10.127476 47 26 15
1590 -0.22444315 -0.073794566 9.993248 83 62 40
1600 -0.25313318 -0.044079892 9.979927 91 73 44
